time,open,high,low,close,EMA,EMA,EMA,EMA
1417392000,300,370,300,370,NaN,NaN,NaN,NaN
1417478400,377,378,377,378,NaN,NaN,NaN,NaN
1417564800,377.9,378,377.01,378,NaN,NaN,NaN,NaN
1417651200,377.1,377.1,377.1,377.1,NaN,NaN,NaN,NaN
1417824000,378,378,378,378,NaN,NaN,NaN,362
1417996800,375.01,375.01,375,375,NaN,NaN,NaN,366.33666666666664
1418169600,398,398,360.5,360.5,NaN,NaN,NaN,376.8911111111111
1418342400,379,379,350,350,NaN,NaN,370.25125,377.59407407407406
1418860800,345,345,340,340,NaN,NaN,364.63986111111114,366.7293827160494
1420675200,360,360,264.81,288.99,NaN,NaN,363.60878086419757,364.4862551440329
1421107200,260,260,260,260,NaN,NaN,340.5846073388203,329.65750342935524
1421193600,200,221,109.87,120,NaN,NaN,309.34358348574915,286.4383356195702
1421280000,191.99,224,150,204.22,NaN,332.2307692307692,283.2650093778049,254.95555707971346
1421366400,210.98,225.5,189,199.46,NaN,314.90923076923076,267.20167396051494,240.2970380531423
1421452800,210,210,184,184,NaN,299.9221978021978,254.4901908581783,230.19802536876153
1421625600,210,225.51,210,225.51,NaN,287.07616954474094,244.60348177858313,223.46535024584102
1421712000,215,218,208,218,NaN,276.7795738954922,238.02493027223133,220.64356683056067
1421798400,219,225.51,219,225.51,NaN,268.52534905327906,233.79716798951327,220.09571122037377
1421884800,245.5,257.73,216.59,226.32,NaN,265.2360134742392,236.39779732517698,228.56380748024918
1421971200,230,235,215,235,NaN,260.2022972636336,234.97606458624875,229.04253832016613
1422057600,215,250.58,215,240,NaN,253.74482622597168,230.53693912263793,224.3616922134441
1422144000,248.02,256.26,245.32,254.53,NaN,252.9269939079757,234.42206376205172,232.24779480896274
1422230400,262.78,322.72,241.43,274.48,NaN,254.3345662068363,240.72382737048466,242.42519653930847
1422316800,274.73,278.47,244.03,263.65,NaN,257.2481996058597,248.28075462148806,253.19346435953898
1422403200,263.96,265.99,228.5,236.09,NaN,258.20702823359403,251.76503137226848,256.782309573026
1422489600,235.89,242,221.14,235.03,NaN,255.0188813430806,248.2372466228755,249.81820638201734
1422576000,235,244.59,227.89,229.07,NaN,252.15904115121194,245.29563626223648,244.87880425467822
1422662400,229,234.67,217.11,218.45,NaN,248.8506067010388,241.67438375951727,239.5858695031188
1422748800,218.67,233.79,210,228.99,NaN,244.53909145803325,236.56229847962453,232.6139130020792
1422835200,228.39,240.1,220.89,237.83,NaN,242.23207839259993,234.74623215081908,231.20594200138612
1422921600,237.01,243.9,225.32,228.58,NaN,241.48606719365708,235.24929167285927,233.14062800092407
1423008000,228.77,230.99,221.5,227.11,NaN,239.66948616599177,233.80944907889054,231.68375200061604
1423094400,227.11,228.9,215,216.76,NaN,237.87527385656438,232.32068261691487,230.1591680004107
1423180800,216.84,226.64,216.03,223.2,NaN,234.87023473419805,228.8805309242671,225.71944533360713
1423267200,223.2,230.5,222.67,229,NaN,233.20305834359831,227.61819071887442,224.87963022240476
1423353600,229.16,231.6,220,223.99,NaN,232.62547858022714,227.960815003569,226.30642014826984
1423440000,224.01,225,216.45,221.1,NaN,231.39469592590896,227.082856113887,225.5409467655132
1423526400,221.13,222,215,220.87,NaN,229.92831079363626,225.7599991996899,224.0706311770088
1423612800,221.07,223.61,217.46,219.81,NaN,228.6628378231168,224.71777715531437,223.07042078467254
1423699200,219.96,224.61,218,223.21,NaN,227.41957527695726,223.6604933430223,222.03361385644837
1423785600,223.2,242.36,221.55,236.49,NaN,226.81677880882052,223.55816148901735,222.42240923763225
1423872000,236.92,259.98,236.08,256.66,NaN,228.26009612184615,226.5274589359024,227.25493949175484
1423958400,256.66,267.86,228,235.54,NaN,232.3172252472967,233.22357917236852,237.05662632783657
1424044800,235.54,241,229.6,234.68,NaN,232.77762164054002,233.73833935628662,236.55108421855772
1424131200,234.41,248,233,244.82,NaN,233.0108185490343,233.8875972771118,235.83738947903848
1424217600,244.9,246,231.93,237.49,NaN,234.7092730420294,236.33479788219807,238.8582596526923
1424304000,237.49,245,235.58,240.9,NaN,235.10651975031092,236.59150946393183,238.4021731017949
1424390400,241.11,248.32,239.99,245.34,NaN,235.9641597859808,237.59561847194698,239.30478206786327
1424476800,245.34,248.43,244,245.99,NaN,237.30356553084067,239.31659214484765,241.31652137857552
1424563200,245.72,247.48,234.01,236.83,NaN,238.50591331214915,240.73957166821484,242.784347585717
1424649600,236.83,240.97,232,239.49,NaN,238.26649712469927,239.8707779641671,240.79956505714466
1424736000,239.49,241.91,235.51,239.87,NaN,238.44128324974224,239.78616063879664,240.36304337142977
1424822400,239.87,241,235.1,238.19,NaN,238.6453856426362,239.80479160795295,240.19869558095317
1424908800,238.21,238.47,234.33,237.11,NaN,238.58318769368816,239.45039347285228,239.5357970539688
1424995200,237.21,259,236.29,254.42,256.58327272727274,238.3870180231613,238.9525282566629,238.76053136931253
1425081600,254.42,256.97,250,255.59,256.506012987013,240.67744401985254,242.3897441996267,243.98035424620835
1425168000,255.73,262,244.88,260.24,256.4782982374768,242.8278091598736,245.35424548859854,247.89690283080557
1425254400,260.29,279.8,256.6,276.7,256.6144304432812,245.32240785132024,248.67330204668775,252.02793522053705
1425340800,276.79,289.5,267.07,283.27,257.3349864988783,249.81777815827448,254.9214571474238,260.28195681369135
1425427200,283.09,287,267.39,273.37,258.2548084096327,254.5709527070924,261.1811333368852,267.8846378757942
1425513600,273.38,281.09,262.49,276.86,258.7949938235744,257.25795946322205,263.89199259535513,269.7164252505295
